,no_of_items,variation,total,paid,change
173,2,2,149.0,206.0,57.0
174,10,3,1273.0,1300.0,27.0
175,1,1,30.0,50.0,20.0
176,2,2,177.0,200.0,23.0
177,5,2,835.0,1000.0,165.0
178,1,1,52.0,100.0,48.0
179,2,1,115.0,200.0,85.0
180,1,1,10.0,10.0,0.0
181,4,3,320.0,100.0,680.0
182,1,1,20.0,20.0,0.0
183,2,2,115.0,200.0,85.0
184,1,1,47.0,100.0,53.0
185,6,2,323.0,350.0,27.0
186,2,2,78.0,100.0,22.0
187,5,2,161.0,1000.0,839.0
188,1,1,130.0,150.0,20.0
189,1,1,875.0,100.0,125.0
190,2,1,84.0,1000.0,916.0
191,2,2,174.0,180.0,6.0
192,3,2,235.0,240.0,5.0
193,4,2,435.0,500.0,65.0
194,10,3,3440.0,3440.0,0.0
195,7,3,780.0,780.0,0.0
196,2,1,1141.0,1141.0,0.0
197,1,1,55.0,60.0,5.0
198,1,1,33.0,40.0,7.0
199,1,1,86.0,100.0,14.0
200,2,1,199.0,199.0,0.0
201,1,1,55.0,100.0,45.0
202,1,1,71.0,100.0,29.0
203,1,1,140.0,140.0,0.0
204,2,1,125.0,500.0,375.0
205,1,1,220.0,300.0,80.0
206,1,1,109.0,100.0,891.0
207,5,2,526.0,526.0,0.0
208,1,1,56.0,70.0,14.0
209,1,1,55.0,55.0,0.0
210,3,2,285.0,300.0,15.0
211,1,1,125.0,150.0,25.0
212,1,1,55.0,100.0,45.0
213,5,1,160.0,200.0,40.0
214,2,1,95.0,100.0,5.0
215,2,2,110.0,120.0,10.0
216,1,1,50.0,100.0,50.0
217,1,1,130.0,500.0,370.0
218,3,2,205.0,205.0,0.0
219,1,1,195.0,1000.0,805.0
220,1,1,90.0,200.0,110.0
221,5,2,750.0,750.0,0.0
222,6,3,17350.0,17350.0,0.0
223,1,1,71.0,100.0,29.0
224,2,2,110.0,110.0,0.0
225,6,4,840.0,1000.0,160.0
226,1,1,110.0,500.0,390.0
227,1,1,140.0,1000.0,860.0
228,4,2,590.0,1000.0,410.0
229,2,1,102.0,120.0,8.0
230,3,1,272.0,300.0,28.0
231,1,1,95.0,100.0,5.0
232,2,1,180.0,200.0,20.0
233,1,1,77.0,100.0,23.0
234,1,1,25.0,25.0,0.0
235,1,1,15.0,50.0,35.0
236,1,1,240.0,500.0,260.0
237,1,1,90.0,100.0,10.0
238,1,1,71.0,71.0,0.0
239,3,3,235.0,500.0,265.0
240,2,1,93.0,500.0,407.0
241,1,1,103.0,150.0,47.0
242,1,1,48.0,50.0,2.0
243,1,1,230.0,1000.0,770.0
244,4,2,320.0,1000.0,680.0
245,4,3,411.0,411.0,0.0
246,2,2,80.0,100.0,20.0
247,3,1,163.0,200.0,37.0
248,3,1,130.0,200.0,70.0
249,1,1,44.0,54.0,10.0
250,13,2,716.0,1000.0,264.0
251,1,1,215.0,250.0,35.0
252,3,3,353.0,1000.0,647.0
253,1,1,52.0,200.0,148.0
254,2,2,165.0,200.0,35.0
255,1,1,55.0,55.0,0.0
